"Seq","Date","Time","LatGPS","LonGPS","Alt","Roll","Pitch","Yaw","Pixel x","Pixel y","Letter","Conf.","Lat","Lon"
0.0,"2019-06-14","13-52-52",51.1297338,-2.2431091,0.031,-0.0745711475610733,-0.007281113415956497,-2.744286060333252,1556.47216796875,689.8724365234375,"E",0.62013674,51.129733854850514,-2.243109212766126
1.0,"2019-06-14","13-52-52",51.1297342,-2.2431084,0.041,-0.07432316243648529,-0.007615525275468826,-2.744354009628296,1215.3431396484375,637.3463745117188,"E",0.81379366,51.129734224358025,-2.243108435272324
2.0,"2019-06-14","13-52-53",51.1297346,-2.2431078,0.05,-0.07423939555883408,-0.007595494389533997,-2.7443783283233643,1191.70361328125,623.5531005859375,"E",0.7550229,51.12973462222409,-2.243107838761341
3.0,"2019-06-14","13-52-53",51.1297346,-2.2431074,0.055,-0.07357512414455414,-0.007788941264152527,-2.744438648223877,1193.432861328125,639.1135864257812,"E",0.69879174,51.129734629388764,-2.2431074423630317
4.0,"2019-06-14","13-52-53",51.1297347,-2.2431071,0.058,-0.07357512414455414,-0.007788941264152527,-2.744438648223877,1192.0238037109375,651.9849853515625,"E",0.6553584,51.129734734952024,-2.2431071419149977
5.0,"2019-06-14","13-52-53",51.1297347,-2.2431068,0.061,-0.07351639866828918,-0.007519975304603577,-2.7444350719451904,1181.4234619140625,650.505859375,"E",0.6101872,51.12973473464025,-2.2431068393613307
6.0,"2019-06-14","13-52-53",51.1297347,-2.2431066,0.064,-0.0733155906200409,-0.0072660669684410095,-2.7445249557495117,1171.593505859375,645.9942016601562,"E",0.6868752,51.12973473315537,-2.24310663759667
7.0,"2019-06-14","13-52-53",51.1297347,-2.2431065,0.065,-0.0733155906200409,-0.0072660669684410095,-2.7445249557495117,1162.8074951171875,637.5953369140625,"E",0.58827263,51.129734729060885,-2.243106535381297
8.0,"2019-06-14","13-52-53",51.1297348,-2.2431064,0.066,-0.07337378710508347,-0.007117658853530884,-2.7444918155670166,1160.2900390625,637.08349609375,"E",0.57590866,51.12973482892785,-2.2431064346993237
9.0,"2019-06-14","13-52-53",51.1297347,-2.2431062,0.065,-0.07331790775060654,-0.006960805505514145,-2.7445225715637207,1160.23779296875,641.61474609375,"E",0.63461554,51.129734730315725,-2.2431062327027633
10.0,"2019-06-14","13-52-53",51.1297347,-2.2431062,0.065,-0.07331790775060654,-0.006960805505514145,-2.7445225715637207,1161.691162109375,642.8062744140625,"E",0.6528505,51.129734730997704,-2.2431062332620555
11.0,"2019-06-14","13-52-53",51.1297347,-2.2431062,0.065,-0.07344819605350494,-0.006676703691482544,-2.7445080280303955,1168.2984619140625,645.583984375,"E",0.58807147,51.12973473323246,-2.243106236274768
12.0,"2019-06-14","13-52-54",51.1297344,-2.2431058,0.002,-0.07325924187898636,-0.006177116185426712,-2.7446136474609375,1173.3154296875,650.0523681640625,"E",0.5737103,51.129734403669744,-2.2431057843799387
13.0,"2019-06-14","13-52-54",51.1297344,-2.2431058,0.002,-0.07325924187898636,-0.006177116185426712,-2.7446136474609375,1221.4097900390625,650.6026611328125,"E",0.71400344,51.12973440391538,-2.243105785257139
14.0,"2019-06-14","13-52-54",51.1297343,-2.2431057,0.0,-0.0729101374745369,-0.006177958101034164,-2.7446749210357666,1411.8927001953125,652.724853515625,"F",0.5045788,51.12973430264262,-2.243105682674951
15.0,"2019-06-14","13-52-54",51.129734,-2.2431054,-0.007,-0.07292871922254562,-0.005729198455810547,-2.74462628364563,1636.69091796875,693.8983154296875,"E",0.5715065,51.129733989174596,-2.2431053481849244
16.0,"2019-06-14","13-53-07",51.129725,-2.243102,-0.001,-0.001931103877723217,-0.007623378187417984,-2.735534906387329,635.7999877929688,1178.9000244140625,"1",0.35784477,51.129725000203784,-2.2431019879379566
17.0,"2019-06-14","13-53-07",51.1297246,-2.2431018,0.008,0.011897123418748379,0.1304345279932022,-2.727440595626831,641.0000610351562,1105.5001220703125,"1",0.5047827,51.12972462882505,-2.2431017375627214
18.0,"2019-06-14","13-53-07",51.1297243,-2.2431017,0.014,0.008098804391920567,0.1782664805650711,-2.727043628692627,655.586181640625,1055.4654541015625,"7",0.4042971,51.12972435123913,-2.243101603078195
19.0,"2019-06-14","13-53-07",51.1297239,-2.2431018,0.019,0.008098804391920567,0.1782664805650711,-2.727043628692627,667.7155151367188,1034.163818359375,"7",0.35791194,51.1297239667958,-2.243101678455767
20.0,"2019-06-14","13-53-07",51.1297237,-2.2431017,0.02,-0.0016416171565651894,0.20561158657073975,-2.7292959690093994,692.1950073242188,1023.5665283203125,"1",0.30440673,51.12972377518552,-2.2431015720151204
21.0,"2019-06-14","13-53-07",51.1297234,-2.2431013,0.024,-0.032806530594825745,0.2043996900320053,-2.738737106323242,708.5862426757812,1053.5345458984375,"7",0.45910692,51.12972349279388,-2.2431011422356546
22.0,"2019-06-14","13-53-08",51.1297234,-2.2431013,0.024,-0.032806530594825745,0.2043996900320053,-2.738737106323242,722.6270751953125,1105.282470703125,"7",0.34145254,51.129723501095384,-2.243101140108854
23.0,"2019-06-14","13-53-08",51.1297234,-2.2431013,0.024,-0.032806530594825745,0.2043996900320053,-2.738737106323242,714.6011352539062,1156.18408203125,"7",0.44412038,51.129723507945265,-2.2431011332464212
24.0,"2019-06-14","13-53-08",51.1297233,-2.2431009,0.035,-0.04683949798345566,0.09974723309278488,-2.743680000305176,677.6918334960938,1181.528564453125,"1",0.39725244,51.12972342041674,-2.2431006694699382
25.0,"2019-06-14","13-53-39",51.1297025,-2.2430741,0.161,0.04239984601736069,-0.009466823190450668,3.078986167907715,391.8703308105469,1177.8216552734375,"1",0.4296865,51.129703099548585,-2.243073320519777
26.0,"2019-06-14","13-53-40",51.129702,-2.2430721,0.213,0.049784932285547256,0.012480344623327255,2.8479976654052734,354.1379089355469,958.8447875976562,"7",0.41460013,51.12970268570406,-2.2430712216446964
27.0,"2019-06-14","13-53-40",51.1297019,-2.2430714,0.221,0.05812300741672516,-0.00621742382645607,2.8376388549804688,352.08148193359375,970.828125,"1",0.45286447,51.12970259346444,-2.243070512243105
28.0,"2019-06-14","13-53-40",51.129702,-2.2430708,0.215,0.06701823323965073,-0.012954961508512497,2.8248870372772217,357.51544189453125,965.1597900390625,"1",0.3996974,51.129702654475565,-2.2430699766808546
29.0,"2019-06-14","13-53-40",51.129702,-2.2430708,0.215,0.06701823323965073,-0.012954961508512497,2.8248870372772217,351.8975524902344,952.278076171875,"1",0.45180693,51.129702640164595,-2.243069956851393
30.0,"2019-06-14","13-53-40",51.1297021,-2.2430702,0.208,0.0684412494301796,-0.0010593868792057037,2.8135571479797363,341.9609680175781,937.2488403320312,"1",0.3861874,51.12970273063032,-2.243069380522782
31.0,"2019-06-14","13-53-41",51.1297027,-2.2430687,0.008,0.07993403822183609,0.011591650545597076,2.7899439334869385,355.0814514160156,844.828125,"1",0.43673256,51.1297027232349,-2.243068652965026
32.0,"2019-06-14","13-53-41",51.1297031,-2.2430681,0.012,0.08219491690397263,0.018145769834518433,2.77231502532959,376.6792297363281,789.8773803710938,"7",0.49333516,51.12970313015149,-2.243068039854079
33.0,"2019-06-14","13-53-41",51.1297032,-2.2430674,0.009,0.07207854092121124,0.0216510072350502,2.7607622146606445,384.1470642089844,764.0882568359375,"A",0.28816658,51.12970322255633,-2.243067349683722
34.0,"2019-06-14","13-53-41",51.1297031,-2.2430671,0.0,0.0727689117193222,0.014929864555597305,2.7497308254241943,392.6341247558594,712.792724609375,"7",0.42018732,51.129703102642566,-2.243067082672259
35.0,"2019-06-14","13-53-41",51.1297029,-2.2430671,-0.016,0.07791326195001602,0.0033301115036010742,2.700552225112915,406.173095703125,662.3653564453125,"7",0.36378875,51.1297028780668,-2.243067141972518
36.0,"2019-06-14","13-53-41",51.129703,-2.2430671,-0.029,0.07495472580194473,0.0007024779915809631,2.641585350036621,452.0,557.5,"1",0.3568533,51.129702975226174,-2.2430671899661907
37.0,"2019-06-14","13-53-41",51.129703,-2.2430671,-0.029,0.07495472580194473,0.0007024779915809631,2.641585350036621,491.4092712402344,500.13934326171875,"7",0.4201681,51.12970298782845,-2.2430671877120485
38.0,"2019-06-14","13-53-42",51.1297031,-2.2430672,-0.075,0.0617753304541111,0.002251703292131424,2.475067138671875,736.7307739257812,271.6538391113281,"I",0.1374721,51.12970318596451,-2.2430674098730967
39.0,"2019-06-14","13-59-20",51.129776,-2.2435152,40.79,-0.021519232541322708,-0.033975157886743546,2.688711166381836,296.5,233.0,"T",0.24892603,51.12975550606967,-2.2431884847507
40.0,"2019-06-14","13-59-20",51.1297494,-2.2434444,40.569,0.026669275015592575,-0.029165219515562057,2.7065463066101074,339.75,395.75006103515625,"I",0.22279976,51.12975305628328,-2.2431897630786892
41.0,"2019-06-14","13-59-20",51.1297428,-2.2434268,40.51,0.031190186738967896,-0.022387821227312088,2.699850559234619,350.483642578125,428.6803283691406,"I",0.21035543,51.129755554884916,-2.2431860797114647
42.0,"2019-06-14","13-59-21",51.1297184,-2.2433581,40.261,0.061334457248449326,-0.020114753395318985,2.6610634326934814,350.576904296875,521.1153564453125,"F",0.20044506,51.129753567197994,-2.24315265931829
43.0,"2019-06-14","13-59-21",51.1297184,-2.2433581,40.261,0.061334457248449326,-0.020114753395318985,2.6610634326934814,348.5,564.0000610351562,"L",0.22260718,51.12976348150172,-2.243159733144135
44.0,"2019-06-14","13-59-21",51.129706,-2.2433213,40.116,0.08383625745773315,-0.019117269665002823,2.6483712196350098,360.4000244140625,598.699951171875,"T",0.22465828,51.12975542649074,-2.243146853086436
45.0,"2019-06-14","13-59-21",51.1297019,-2.2433088,40.072,0.11781306564807892,-0.02484240010380745,2.629925012588501,371.20001220703125,657.9000244140625,"I",0.21328002,51.12975740940871,-2.243166629208386
46.0,"2019-06-14","13-59-21",51.1296959,-2.2432899,40.007,0.1251879185438156,-0.03198457136750221,2.6223464012145996,381.3800048828125,693.3400268554688,"T",0.2102529,51.129755021995216,-2.243160832419179
47.0,"2019-06-14","13-59-22",51.12969,-2.2432706,39.955,0.1399640589952469,-0.0341390036046505,2.616135835647583,407.4999694824219,742.5,"I",0.21712667,51.129753748566046,-2.2431679030722655
48.0,"2019-06-14","13-59-22",51.12969,-2.2432706,39.955,0.1399640589952469,-0.0341390036046505,2.616135835647583,431.00006103515625,780.0001220703125,"T",0.19914249,51.12975900490436,-2.243183557236283
49.0,"2019-06-14","13-59-22",51.129679,-2.2432318,39.886,0.14380483329296112,-0.04249435290694237,2.607252597808838,439.75006103515625,818.7501220703125,"I",0.19642773,51.12975245086384,-2.243156276376943
50.0,"2019-06-14","13-59-22",51.1296727,-2.2432085,39.828,0.14380483329296112,-0.04249435290694237,2.607252597808838,505.0,874.0000610351562,"T",0.2027991,51.12974974491834,-2.243166909440427
51.0,"2019-06-14","13-59-22",51.1296632,-2.2431711,39.723,0.134612575173378,-0.044418711215257645,2.582632541656494,611.25,914.2500610351562,"I",0.19109866,51.12973643675823,-2.243172272173544
52.0,"2019-06-14","13-59-22",51.1296591,-2.2431539,39.667,0.106341153383255,-0.02516002580523491,2.5691211223602295,623.0000610351562,952.0001220703125,"I",0.21302655,51.12974983756347,-2.2431601583823375
53.0,"2019-06-14","13-59-22",51.1296457,-2.2430945,39.43,0.1278759241104126,-0.02980251982808113,2.5268149375915527,690.25,1097.25,"I",0.19615148,51.12974989283278,-2.2431702484708005
54.0,"2019-06-14","13-59-23",51.129642,-2.2430766,39.384,0.15335021913051605,-0.032914478331804276,2.4985342025756836,847.0000610351562,1141.0,"J",0.27507985,51.129723542437496,-2.2432289899624767
55.0,"2019-06-14","14-06-57",51.1294356,-2.2437976,21.275,0.28086113929748535,-0.01234123483300209,-2.349874496459961,751.0000610351562,28.000019073486328,"A",0.6663106,51.12940271792957,-2.2439213620109113
56.0,"2019-06-14","14-06-57",51.1294356,-2.2437976,21.275,0.2615032196044922,0.029056917876005173,-2.336392402648926,752.4812622070312,177.5415802001953,"A",0.9840889,51.1294198268512,-2.243885164186857
57.0,"2019-06-14","14-06-57",51.1294301,-2.2438189,21.12,0.22401081025600433,-0.04864295944571495,-2.3316714763641357,799.1105346679688,297.1402282714844,"A",0.9906375,51.12941412549152,-2.243902652412592
58.0,"2019-06-14","14-06-57",51.1294243,-2.2438397,21.003,0.22401081025600433,-0.04864295944571495,-2.3316714763641357,897.3699951171875,416.47723388671875,"A",0.9278241,51.12942910004768,-2.243919338768192
59.0,"2019-06-14","14-06-57",51.1294153,-2.2438686,21.077,0.04383203014731407,-0.12460117042064667,-2.2776482105255127,981.8448486328125,487.637939453125,"A",0.9987469,51.12939945502293,-2.2439267225582236
60.0,"2019-06-14","14-06-58",51.1294153,-2.2438686,21.077,0.04383203014731407,-0.12460117042064667,-2.2776482105255127,1026.582275390625,568.2808227539062,"A",0.99320215,51.12941094266459,-2.2439195147007296
61.0,"2019-06-14","14-06-58",51.1294089,-2.2438885,21.39,0.04383203014731407,-0.12460117042064667,-2.2776482105255127,1012.4179077148438,720.2191772460938,"A",0.9476308,51.129416333016636,-2.2439129495189993
62.0,"2019-06-14","14-06-58",51.1294043,-2.2439028,21.678,-0.06171875819563866,-0.12704168260097504,-2.2608726024627686,1007.4265747070312,823.4730834960938,"A",0.9952732,51.129404361290504,-2.243889140602812
63.0,"2019-06-14","14-06-58",51.1294043,-2.2439028,21.678,-0.06899325549602509,-0.16353930532932281,-2.2520151138305664,966.4957275390625,899.96728515625,"A",0.9991992,51.12940148536876,-2.2438770446681744
64.0,"2019-06-14","14-06-58",51.1293939,-2.2439371,22.496,-0.07252724468708038,-0.1832641214132309,-2.2231273651123047,923.2367553710938,955.5426635742188,"A",0.99855167,51.129387821322425,-2.2438981678238488
65.0,"2019-06-14","14-06-58",51.1293939,-2.2439371,22.496,-0.07252724468708038,-0.1832641214132309,-2.2231273651123047,905.0138549804688,1042.4542236328125,"A",0.9970425,51.12939337042062,-2.243879541929816
66.0,"2019-06-14","14-06-58",51.1293835,-2.2439745,23.482,-0.05682357773184776,-0.17814897000789642,-2.1773312091827393,968.308349609375,1109.134033203125,"A",0.9969317,51.129397786276286,-2.2439111469797717
67.0,"2019-06-14","14-08-01",51.1294251,-2.2437434,14.222,0.11673101037740707,-0.018171396106481552,-2.340590476989746,1382.02978515625,28.950075149536133,"4",0.98497295,51.129427217626464,-2.2438635396288027
68.0,"2019-06-14","14-08-01",51.1294204,-2.2437667,14.224,0.10549158602952957,-0.013851489871740341,-2.3447484970092773,1333.10009765625,143.79998779296875,"A",0.8844503,51.1294253151801,-2.2438677879240294
69.0,"2019-06-14","14-08-01",51.1294204,-2.2437667,14.224,0.10549158602952957,-0.013851489871740341,-2.3447484970092773,1280.7001953125,267.60003662109375,"A",0.7587529,51.12942956931233,-2.2438499075034715
70.0,"2019-06-14","14-08-01",51.1294162,-2.2437866,14.238,0.10057386755943298,-0.005096543580293655,-2.3477184772491455,1243.60009765625,419.300048828125,"A",0.8255073,51.12943250525531,-2.243848653672824
71.0,"2019-06-14","14-08-01",51.1294083,-2.243822,14.334,0.09497823566198349,-0.10248473286628723,-2.352497100830078,1221.13916015625,627.5618286132812,"A",0.9919193,51.129427009061786,-2.2438740803136294
72.0,"2019-06-14","14-08-01",51.1294036,-2.2438436,14.529,0.09497823566198349,-0.10248473286628723,-2.352497100830078,1189.934814453125,746.8650512695312,"A",0.9665976,51.12942818930712,-2.243880680271832
73.0,"2019-06-14","14-08-02",51.1294036,-2.2438436,14.529,0.09497823566198349,-0.10248473286628723,-2.352497100830078,1132.8623046875,813.1515502929688,"A",0.9968545,51.12942870616145,-2.243867920342727
74.0,"2019-06-14","14-08-02",51.1293972,-2.2438735,15.245,0.05502902716398239,-0.11575031280517578,-2.347165107727051,1041.42431640625,867.4174194335938,"A",0.9915665,51.12941557197334,-2.2438785951080815
75.0,"2019-06-14","14-08-02",51.1293972,-2.2438735,15.245,0.06351602077484131,-0.09028451144695282,-2.348235607147217,981.2835083007812,1030.2371826171875,"A",0.99279636,51.12942547196613,-2.2438519330938824
76.0,"2019-06-14","14-08-02",51.1293926,-2.2438944,15.79,0.07986695319414139,-0.06294022500514984,-2.3524365425109863,943.4069213867188,1141.1307373046875,"A",0.88729614,51.129431213149225,-2.243854118731922
77.0,"2019-06-14","14-16-13",51.1296541,-2.2429907,-5.956,-2.754469871520996,1.2734661102294922,-0.7991199493408203,1872.0,235.5,"A",0.1432318,51.1296951268633,-2.24337575651503
78.0,"2019-06-14","14-16-14",51.1296545,-2.2429917,-6.143,-2.754469871520996,1.2734661102294922,-0.7991199493408203,1739.5015869140625,331.6180419921875,"1",0.70677334,51.12973148666524,-2.2434309563251924
79.0,"2019-06-14","14-16-14",51.1296547,-2.2429921,-0.071,-2.534604072570801,1.3273329734802246,-0.6596860885620117,1591.712646484375,404.4350891113281,"1",0.42988363,51.129657124093,-2.2429990116311718
80.0,"2019-06-14","14-16-14",51.1296557,-2.2429933,-0.34,-1.835547924041748,1.4179692268371582,-0.1657974272966385,1453.389892578125,427.62103271484375,"1",0.95218164,51.129696006537834,-2.2431065232884997
81.0,"2019-06-14","14-16-14",51.1296557,-2.2429933,-0.34,-1.835547924041748,1.4179692268371582,-0.1657974272966385,1327.6927490234375,364.85784912109375,"1",0.8995656,51.12969089355314,-2.243098977119244
82.0,"2019-06-14","14-16-14",51.1296557,-2.2429933,-0.34,-1.835547924041748,1.4179692268371582,-0.1657974272966385,1210.58349609375,278.7223205566406,"1",0.9211891,51.12968361040002,-2.2430913187636077
83.0,"2019-06-14","14-16-14",51.1296566,-2.242995,-0.557,-1.9257460832595825,1.408366084098816,-0.4361904561519623,1073.7525634765625,212.54522705078125,"1",0.7909268,51.12967618311354,-2.2431034353290125
